x,y,count
-155,115,2
-153,116,2
-150,114,2
-149,115,2
-144,114,2
-143,114,2
-141,118,2
-141,119,2
-139,-141,2
-137,123,2
-135,123,2
-134,-142,2
-134,-141,2
-133,8,3
-133,126,2
-133,128,2
-132,3,2
-132,6,2
-132,7,5
-132,10,2
-132,11,3
-131,-142,2
-131,10,3
-130,9,6
-130,10,3
-130,12,2
-130,131,2
-129,11,3
-128,131,2
-127,-141,2
-127,-140,2
-127,2,2
-126,10,3
-126,137,2
-125,-92,2
-125,133,2
-125,134,2
-125,135,4
-125,137,2
-125,138,2
-124,-155,2
-124,-92,3
-124,-91,3
-124,-88,3
-124,-83,3
-124,9,5
-124,134,4
-124,137,2
-124,141,4
-124,144,2
-124,148,4
-124,150,2
-123,-158,2
-123,-153,2
-123,-150,2
-123,-77,3
-123,0,2
-123,10,3
-123,82,2
-123,154,2
-122,-148,2
-122,-5,2
-122,11,3
-122,154,2
-121,-141,2
-121,-76,2
-121,82,2
-121,154,2
-120,11,2
-120,82,2
-119,-141,2
-119,84,3
-118,-148,2
-118,-93,3
-118,11,3
-118,83,3
-118,86,3
-118,153,2
-117,-158,2
-117,-146,2
-117,-143,2
-117,-76,3
-117,-5,2
-117,82,7
-117,83,9
-117,84,6
-117,85,2
-117,86,4
-117,146,2
-117,152,2
-117,153,2
-116,-160,2
-116,12,2
-116,79,2
-116,81,10
-116,82,1
-116,83,7
-116,84,1
-116,85,7
-116,87,3
-116,89,3
-116,146,2
-115,-159,10
-115,-141,2
-115,-10,2
-115,79,2
-115,80,21
-115,82,4
-115,83,4
-115,84,6
-115,85,2
-115,89,2
-115,90,2
-115,140,4
-115,141,2
-115,146,2
-114,10,5
-114,78,8
-114,79,10
-114,81,7
-114,83,2
-114,90,2
-114,140,2
-113,-140,2
-113,10,3
-113,74,2
-113,76,2
-113,77,2
-113,79,4
-113,82,11
-113,89,3
-113,90,6
-113,139,2
-112,-160,4
-112,-13,2
-112,10,2
-112,11,3
-112,81,4
-112,139,2
-111,-140,2
-111,-93,3
-111,11,2
-111,73,2
-111,74,3
-111,81,3
-111,84,4
-111,139,2
-110,-163,5
-110,-160,5
-110,-159,5
-110,-158,2
-110,-92,3
-110,-76,3
-110,16,3
-110,20,3
-110,83,2
-110,84,2
-110,89,6
-110,91,2
-110,139,2
-109,-168,2
-109,-165,2
-109,-163,5
-109,-161,2
-109,-159,5
-109,-155,2
-109,-154,2
-109,-153,5
-109,-138,2
-109,-135,2
-109,-131,2
-109,-130,2
-109,-92,3
-109,-90,3
-109,-89,3
-109,-88,2
-109,-86,3
-109,13,5
-109,18,3
-109,82,5
-109,84,4
-109,90,2
-109,139,2
-109,142,2
-108,-163,2
-108,-154,5
-108,-150,2
-108,-86,3
-108,15,3
-108,16,3
-108,65,3
-108,66,2
-108,68,2
-108,69,3
-108,82,3
-108,83,2
-108,91,2
-108,92,2
-108,95,1
-108,139,2
-108,140,2
-108,143,2
-108,157,5
-108,159,6
-107,-125,4
-107,-12,2
-107,90,4
-107,92,2
-107,94,9
-107,95,1
-107,96,2
-107,139,9
-107,156,9
-107,157,2
-107,161,2
-107,163,2
-106,-149,10
-106,90,6
-106,137,3
-106,139,9
-105,-149,2
-105,66,2
-105,89,4
-105,92,2
-105,137,2
-105,138,6
-105,139,8
-105,155,2
-105,156,6
-104,67,3
-104,90,6
-104,91,4
-104,92,11
-104,138,3
-104,146,4
-104,155,3
-103,-86,3
-103,-76,3
-103,90,5
-103,91,2
-103,137,2
-103,138,4
-103,139,3
-103,155,2
-102,-148,2
-102,-132,2
-102,-124,2
-102,-11,2
-102,-10,1
-102,75,2
-102,77,4
-102,90,3
-102,91,7
-102,92,2
-102,137,2
-102,138,2
-102,155,2
-102,156,3
-101,-149,5
-101,-134,2
-101,17,3
-101,70,2
-101,76,4
-101,83,4
-101,88,5
-101,89,2
-101,91,2
-101,93,3
-101,96,2
-101,98,2
-101,128,2
-101,129,2
-101,136,4
-101,156,8
-101,158,2
-101,159,3
-100,-149,5
-100,-136,2
-100,-125,2
-100,-74,3
-100,-72,2
-100,-68,3
-100,-60,3
-100,-54,3
-100,-12,1
-100,-9,4
-100,-4,1
-100,-3,3
-100,-2,1
-100,23,3
-100,70,3
-100,82,2
-100,83,3
-100,89,5
-100,90,5
-100,91,2
-100,93,4
-100,96,8
-100,97,2
-100,98,3
-100,99,2
-100,126,5
-100,128,2
-100,130,3
-100,133,2
-100,134,4
-100,137,3
-100,158,13
-100,161,7
-99,-149,2
-99,-139,2
-99,-11,3
-99,-6,2
-99,-1,2
-99,10,3
-99,73,2
-99,84,2
-99,90,1
-99,91,2
-99,97,2
-99,98,5
-99,99,3
-99,127,2
-99,135,3
-99,140,3
-99,161,4
-98,-140,2
-98,-12,3
-98,0,5
-98,10,3
-98,74,3
-98,76,2
-98,83,3
-98,98,3
-98,127,6
-98,146,2
-98,162,2
-97,-132,2
-97,-124,2
-97,-85,3
-97,-12,2
-97,75,2
-97,83,3
-97,127,7
-97,145,2
-97,146,2
-97,162,7
-97,163,2
-96,-132,2
-96,26,3
-96,99,5
-96,127,2
-95,-149,5
-95,-148,7
-95,-133,2
-95,-52,3
-95,0,2
-95,74,2
