x,y,count
-155,115,1
-153,116,1
-150,114,1
-149,115,1
-144,114,1
-143,114,1
-141,118,1
-141,119,1
-137,123,1
-135,123,1
-133,8,1
-133,126,1
-133,128,1
-132,7,1
-132,11,1
-131,10,1
-130,9,2
-130,10,1
-130,131,1
-129,11,1
-128,131,1
-126,10,1
-126,137,1
-125,133,1
-125,134,1
-125,135,2
-125,137,1
-125,138,1
-124,-92,1
-124,-91,1
-124,-88,1
-124,-83,1
-124,9,1
-124,134,1
-124,137,1
-124,141,2
-124,144,1
-124,148,2
-124,150,1
-123,-77,1
-123,10,1
-123,154,1
-122,11,1
-122,154,1
-121,154,1
-119,84,1
-118,-93,1
-118,11,1
-118,83,1
-118,86,1
-118,153,1
-117,-158,1
-117,-76,1
-117,82,1
-117,83,3
-117,84,1
-117,85,1
-117,86,1
-117,146,1
-117,152,1
-117,153,1
-116,-160,1
-116,79,1
-116,81,3
-116,83,2
-116,85,3
-116,87,1
-116,89,1
-116,146,1
-115,-159,2
-115,79,1
-115,80,1
-115,82,2
-115,83,2
-115,84,2
-115,85,1
-115,89,1
-115,90,1
-115,140,2
-115,141,1
-115,146,1
-114,10,1
-114,78,3
-114,79,4
-114,81,2
-114,83,1
-114,90,1
-114,140,1
-113,10,1
-113,74,1
-113,76,1
-113,77,1
-113,79,2
-113,82,5
-113,89,1
-113,90,3
-113,139,1
-112,-160,2
-112,11,1
-112,81,1
-112,139,1
-111,-93,1
-111,73,1
-111,74,1
-111,84,2
-111,139,1
-110,-163,1
-110,-160,1
-110,-159,1
-110,-158,1
-110,-92,1
-110,-76,1
-110,16,1
-110,20,1
-110,83,1
-110,84,1
-110,89,2
-110,91,1
-110,139,1
-109,-168,1
-109,-165,1
-109,-163,1
-109,-161,1
-109,-159,1
-109,-155,1
-109,-154,1
-109,-153,1
-109,-92,1
-109,-90,1
-109,-89,1
-109,-86,1
-109,13,1
-109,18,1
-109,82,1
-109,84,2
-109,90,1
-109,139,1
-109,142,1
-108,-163,1
-108,-154,1
-108,-150,1
-108,-86,1
-108,15,1
-108,16,1
-108,65,1
-108,66,1
-108,68,1
-108,69,1
-108,83,1
-108,91,1
-108,139,1
-108,140,1
-108,143,1
-108,157,2
-108,159,2
-107,90,1
-107,94,2
-107,139,2
-107,156,2
-106,-149,2
-106,90,2
-106,137,1
-106,139,4
-105,-149,1
-105,66,1
-105,89,1
-105,92,1
-105,137,1
-105,138,3
-105,139,4
-105,156,2
-104,67,1
-104,90,2
-104,91,2
-104,92,3
-104,138,1
-104,146,2
-104,155,1
-103,-86,1
-103,-76,1
-103,90,2
-103,91,1
-103,137,1
-103,138,1
-103,139,1
-103,155,1
-102,-148,1
-102,-10,1
-102,75,1
-102,77,2
-102,90,1
-102,91,3
-102,92,1
-102,137,1
-102,138,1
-102,156,1
-101,-149,1
-101,17,1
-101,70,1
-101,76,1
-101,83,2
-101,88,1
-101,89,1
-101,91,1
-101,93,1
-101,96,1
-101,98,1
-101,128,1
-101,129,1
-101,136,2
-101,156,2
-101,158,1
-101,159,1
-100,-149,1
-100,-74,1
-100,-68,1
-100,-60,1
-100,-54,1
-100,-12,1
-100,-9,2
-100,-4,1
-100,-3,1
-100,-2,1
-100,23,1
-100,70,1
-100,83,1
-100,89,2
-100,90,2
-100,91,1
-100,93,1
-100,96,3
-100,97,1
-100,98,1
-100,99,1
-100,126,2
-100,128,1
-100,130,1
-100,133,1
-100,134,2
-100,137,1
-100,158,2
-100,161,2
-99,-149,1
-99,-11,1
-99,10,1
-99,73,1
-99,84,1
-99,98,2
-99,99,1
-99,127,1
-99,135,1
-99,140,1
-99,161,1
-98,-12,1
-98,0,1
-98,10,1
-98,74,1
-98,83,1
-98,98,1
-98,127,2
-98,146,1
-98,162,1
-97,-85,1
-97,75,1
-97,83,1
-97,127,3
-97,145,1
-97,146,1
-97,162,2
-96,26,1
-96,99,2
-96,127,1
-95,-149,1
-95,-148,2
-95,-52,1
-95,74,1
-95,83,2
-95,98,1
-95,99,2
-95,100,1
-95,127,3
-95,144,1
-94,-11,1
-94,-1,1
-94,0,1
-94,84,1
-94,86,1
-94,99,3
-94,100,3
-94,105,1
-94,127,3
-94,143,1
-94,161,2
-93,-150,1
-93,-149,1
-93,-48,1
-93,-42,1
-93,-35,1
-93,-28,1
-93,-11,2
-93,30,1
-93,101,1
-93,102,1
-93,104,1
-93,105,1
-93,120,1
-93,121,1
-93,127,5
-93,159,1
-93,160,1
-93,161,2
-93,173,1
-92,-156,1
-92,-155,1
-92,-154,1
-92,-84,1
-92,-22,1
-92,-20,1
-92,-15,1
-92,0,1
-92,83,1
-92,88,3
-92,89,1
-92,91,2
-92,100,1
-92,104,2
-92,115,1
-92,117,2
-92,123,1
-92,124,1
-92,126,1
-92,127,1
-92,172,2
-92,174,1
-91,-156,1
-91,-151,2
-91,75,2
-91,89,1
-91,91,2
-91,105,2
-91,106,3
-91,108,1
-91,116,1
-91,121,1
-91,122,1
-91,123,1
-91,124,1
-91,125,1
-91,126,1
-91,146,1
-91,156,4
-91,172,1
-90,-156,1
-90,34,1
-90,75,1
-90,91,1
-90,106,1
-90,146,1
-90,155,1
-90,172,1
-89,-85,1
-89,90,1
-89,107,1
-89,155,1
-88,-157,1
-88,0,1
-88,106,1
-88,107,1
-88,114,1
-88,170,1
-88,171,1
-87,-156,2
-87,0,1
-87,73,1
-87,90,1
-87,91,2
-87,105,1
-87,106,2
-87,114,1
-87,115,2
-87,171,1
-86,-154,1
