x,y,count
-141,57,1
-140,32,1
-140,55,1
-139,28,1
-137,35,1
-137,58,1
-137,59,1
-136,26,1
-135,35,3
-133,36,1
-133,45,1
-133,57,1
-133,59,1
-132,8,4
-132,27,1
-132,38,1
-132,42,1
-132,50,1
-131,3,4
-131,54,1
-129,10,4
-129,60,1
-127,27,1
-126,2,4
-125,-2,4
-125,53,1
-125,57,1
-124,120,3
-123,26,1
-123,115,3
-122,10,4
-121,51,1
-120,-4,4
-119,26,1
-119,122,3
-118,68,1
-118,74,3
-118,113,3
-117,-8,4
-117,51,1
-117,55,1
-117,59,1
-117,63,3
-117,64,1
-117,71,3
-117,87,3
-116,10,4
-116,29,1
-116,33,1
-116,53,3
-116,58,3
-116,62,5
-116,63,4
-116,69,3
-116,71,1
-116,87,1
-116,127,3
-115,37,1
-115,41,1
-115,60,3
-115,61,7
-115,62,3
-115,67,3
-115,90,1
-115,126,3
-115,132,3
-115,135,3
-114,-12,4
-114,74,1
-114,76,3
-114,83,1
-114,84,3
-114,131,3
-113,51,1
-113,73,1
-113,76,1
-113,78,1
-113,79,3
-113,81,1
-113,82,3
-113,91,3
-113,114,3
-113,123,3
-112,42,1
-112,50,3
-112,51,3
-111,75,1
-111,83,1
-111,90,1
-110,10,4
-110,50,3
-110,82,2
-110,83,3
-109,-11,4
-109,45,1
-109,49,3
-109,74,1
-109,75,1
-109,82,2
-109,91,7
-109,104,3
-108,14,4
-108,21,4
-108,28,4
-108,49,4
-108,82,2
-108,92,1
-108,93,3
-108,99,3
-108,122,3
-107,34,4
-107,82,6
-107,91,3
-107,114,3
-106,50,6
-105,50,1
-104,51,3
-104,92,1
-104,105,3
-103,-12,4
-103,50,3
-103,91,3
-103,121,3
-102,22,3
-102,35,4
-102,40,10
-102,91,3
-101,3,1
-101,19,1
-101,25,1
-101,40,1
-101,41,4
-101,51,1
-101,84,1
-101,89,1
-101,90,1
-101,91,1
-101,93,1
-101,96,1
-101,97,1
-101,108,3
-101,113,3
-100,-4,4
-100,0,2
-100,2,105
-100,4,1
-100,5,8
-100,6,5
-100,7,1
-100,8,1
-100,9,4
-100,11,8
-100,12,2
-100,14,2
-100,15,3
-100,16,4
-100,18,8
-100,19,1
-100,21,1
-100,22,4
-100,24,4
-100,25,5
-100,36,1
-100,38,3
-100,40,1
-100,41,7
-100,53,3
-100,59,3
-100,77,1
-100,79,5
-100,94,8
-100,95,6
-100,96,6
-100,121,3
-100,127,6
-99,-9,4
-99,0,9
-99,1,40
-99,2,4
-99,9,1
-99,10,9
-99,21,1
-99,25,5
-99,55,1
-99,59,1
-99,76,5
-99,81,4
-99,82,1
-99,96,1
-99,97,3
-99,123,3
-98,-11,4
-98,0,8
-98,2,1
-98,10,4
-98,11,1
-98,26,3
