x,y,count
-197,24,2
-196,23,3
-196,26,1
-196,27,3
-195,26,1
-194,19,1
-193,19,4
-190,27,3
-190,28,2
-189,41,3
-189,46,4
-188,33,3
-188,41,51
-188,42,6
-188,43,6
-188,47,3
-187,19,2
-187,34,2
-187,42,10
-186,19,3
-186,43,3
-185,42,3
-185,43,3
-183,42,4
-181,19,1
-181,20,1
-181,21,3
-181,35,3
-181,43,3
-181,47,3
-181,48,4
-181,54,4
-180,-92,3
-180,35,2
-180,46,3
-180,48,3
-180,52,3
-180,53,4
-180,54,3
-179,25,5
-178,58,6
-177,58,4
-177,59,4
-175,-93,3
-175,25,1
-174,25,4
-174,34,2
-174,35,4
-173,20,1
-173,35,4
-173,37,3
-173,40,1
-173,41,1
-172,-93,3
-172,-92,3
-172,19,3
-172,20,1
-172,37,6
-172,40,4
-172,41,7
-171,35,3
-171,36,3
-171,41,3
-171,58,3
-171,59,3
-170,42,6
-170,51,3
-170,59,7
-169,34,4
-168,34,1
-168,51,3
-167,-92,3
-167,19,1
-167,34,3
-167,35,3
-167,42,1
-167,43,7
-167,44,3
-167,50,6
-166,-91,3
-166,18,4
-166,33,3
-166,42,1
-166,43,3
-166,44,1
-166,60,6
-165,-88,3
-165,-58,3
-165,13,1
-165,34,3
-165,42,3
-165,45,3
-165,47,4
-165,48,4
-165,49,4
-165,61,4
-165,66,3
-165,67,3
-164,-86,3
-164,-59,3
-164,-54,3
-164,11,3
-164,12,1
-164,27,4
-164,28,3
-164,29,3
-164,30,3
-164,31,2
-164,32,3
-164,41,3
-164,42,3
-164,47,3
-164,48,3
-164,50,4
-164,51,7
-164,62,3
-164,67,3
-164,73,6
-163,27,1
-163,41,3
-163,50,22
-163,51,4
-163,68,3
-163,73,3
-162,-53,3
-162,28,3
-162,74,4
-161,-84,3
-161,51,6
-160,11,1
-160,50,3
-160,51,1
-159,-85,3
-159,-51,3
-159,10,1
-159,26,3
-159,27,10
-159,50,3
-159,51,4
-159,75,3
-158,-124,3
-158,-122,3
-158,-120,3
-158,-53,3
-158,-49,3
-158,-42,3
-158,10,3
-158,28,4
-158,50,2
-158,51,3
-158,73,4
