x,y,count
-73,2,2
-73,3,2
-72,29,1
-72,31,1
-71,29,2
-71,30,1
-71,31,1
-70,0,2
-70,29,1
-70,30,10
-70,31,2
-69,0,2
-69,30,3
-68,30,4
-68,31,2
-68,52,1
-68,53,2
-67,24,1
-67,31,1
-67,53,1
-67,61,2
-67,62,2
-67,63,1
-66,18,1
-66,27,2
-66,28,15
-66,29,4
-66,31,2
-66,32,2
-66,33,2
-66,37,1
-66,52,4
-66,53,8
-66,54,2
-66,55,1
-66,61,4
-66,62,1
-66,63,2
-65,-1,2
-65,22,2
-65,25,2
-65,26,6
-65,27,2
-65,28,10
-65,33,2
-65,34,4
-65,35,4
-65,41,1
-65,48,1
-65,50,2
-65,52,2
-65,53,1
-65,56,2
-65,62,1
-65,63,8
-64,-2,2
-64,21,3
-64,22,2
-64,23,2
-64,33,2
-64,34,7
-64,35,7
-64,41,1
-64,43,2
-64,44,2
-64,46,1
-64,47,2
-64,48,2
-64,49,2
-64,51,4
-64,52,3
-64,53,2
-64,57,35
-64,62,1
-64,63,2
-64,65,2
-64,66,1
-64,67,2
-64,69,1
-64,70,2
-63,34,1
-63,35,15
-63,36,4
-63,39,8
-63,40,16
-63,41,10
-63,42,2
-63,43,2
-63,44,2
-63,46,35
-63,50,2
-63,51,4
-63,55,2
-63,62,2
-63,63,2
-63,64,2
-63,65,4
-63,66,7
-63,68,6
-63,69,9
-62,23,2
-62,25,2
-62,35,1
-62,37,2
-62,38,4
-62,39,9
-62,43,2
-62,44,1
-62,46,4
-62,47,3
-62,50,2
-62,51,1
-62,56,3
-62,57,25
-62,59,2
-62,64,2
-62,65,1
-62,67,6
-62,69,4
-61,15,1
-61,20,4
-61,22,4
-61,23,8
-61,24,2
-61,25,5
-61,37,7
-61,38,2
-61,40,6
-61,41,4
-61,42,2
-61,47,8
-61,49,2
-61,51,2
-61,52,3
-61,54,2
-61,61,5
-61,63,6
-61,64,4
-61,67,16
-60,-186,2
-60,-183,2
-60,-181,2
-60,-175,2
-60,19,15
-60,23,8
-60,24,7
-60,25,4
-60,28,2
-60,36,6
-60,37,4
-60,38,2
-60,39,2
-60,40,2
-60,41,2
-60,42,1
-60,43,6
-60,46,6
-60,47,1
-60,53,2
-60,54,3
-60,57,2
-60,58,6
-60,60,4
-60,63,2
-60,67,1
-59,-177,2
-59,21,6
-59,36,3
-59,37,2
-59,39,2
-59,42,1
-59,43,9
-59,45,2
-59,46,11
-59,47,3
-59,50,2
-59,54,4
-59,55,2
-59,58,3
-59,60,5
-59,61,4
-58,-172,2
-58,1,2
-58,22,2
-58,35,4
-58,36,4
-58,37,3
-58,39,4
-58,40,2
-58,43,1
-58,45,2
-58,46,9
-58,47,1
-58,56,4
-58,59,4
-58,66,2
-57,-189,2
-57,-171,2
-57,-20,3
-57,-18,33
-57,-3,2
-57,21,2
-57,23,4
-57,31,5
-57,35,5
-57,38,2
-57,40,2
-57,41,6
-57,42,22
-57,44,2
-57,48,2
-57,59,3
-57,61,2
-57,62,3
-57,64,1
-57,65,2
-57,66,2
-56,-22,2
-56,-19,2
-56,-18,7
-56,-17,1
-56,-16,2
-56,-15,2
-56,22,3
-56,23,3
-56,28,2
-56,32,2
-56,33,3
-56,34,5
-56,38,2
-56,39,2
-56,41,4
-56,42,5
-56,59,2
-56,60,1
-56,61,3
-56,63,1
-56,68,2
-56,70,1
-55,-189,2
-55,-23,4
-55,-21,2
-55,-19,1
-55,-18,1
-55,-15,8
-55,15,1
-55,30,2
-55,31,4
-55,32,2
-55,34,4
-55,38,2
-55,39,16
-55,40,15
-55,41,4
-55,42,2
-55,64,2
-55,65,1
-55,70,2
-55,71,4
-55,72,5
-54,-173,4
-54,-22,4
-54,-19,10
-54,-18,15
-54,-16,8
-54,-15,3
-54,18,1
-54,26,4
-54,27,4
-54,28,2
-54,31,2
-54,33,6
-54,34,3
-54,35,18
-54,36,3
-54,38,2
-54,39,1
-54,40,4
-54,41,6
-54,42,7
-54,43,2
-54,44,2
-54,45,6
-54,61,2
-54,62,3
-54,71,4
-54,72,12
-53,-191,2
-53,-178,2
-53,-22,22
-53,-20,2
-53,-19,1
-53,-18,18
-53,4,2
-53,21,27
-53,23,2
-53,29,2
-53,32,4
-53,33,3
-53,35,1
-53,36,2
-53,37,4
-53,39,2
-53,42,2
-53,45,4
-53,46,1
-53,47,2
-53,60,2
-53,61,3
-53,62,2
-53,65,1
-53,71,2
-53,72,3
-52,-178,2
-52,-22,2
-52,-20,2
-52,-19,2
-52,-18,7
-52,15,1
-52,20,2
-52,29,2
-52,33,4
-52,34,12
-52,35,5
-52,36,12
-52,37,14
-52,38,5
-52,48,6
-52,59,1
-52,61,2
-52,62,2
-52,64,5
-52,65,1
-51,-18,3
-51,0,2
-51,15,7
-51,16,2
-51,32,2
-51,34,4
-51,37,16
-51,38,5
-51,39,7
-51,47,2
-51,48,2
-51,49,2
-51,63,3
-51,64,1
-50,-18,17
-50,11,1
-50,12,2
-50,14,2
-50,18,2
-50,33,2
-50,36,4
-50,37,7
-50,39,12
-50,40,5
-50,41,7
-50,49,2
-50,60,2
-50,61,2
-50,63,1
-50,64,2
-50,69,15
-49,-56,3
-49,-54,7
-49,-53,5
-49,-18,7
-49,33,2
-49,34,3
-49,35,6
-49,36,1
-49,37,16
-49,39,4
-49,40,3
-49,41,6
-49,42,2
-49,43,4
-49,50,2
-49,58,2
-49,59,1
-49,60,1
-49,61,1
-49,63,8
-49,69,5
-49,70,4
-48,-180,2
-48,-58,2
-48,-50,2
-48,-18,3
-48,6,1
-48,7,13
-48,8,1
-48,12,1
-48,32,4
-48,34,6
-48,35,2
-48,36,8
-48,37,6
-48,38,2
-48,39,9
-48,42,5
-48,43,4
-48,44,3
-48,46,3
-48,48,1
-48,50,2
-48,59,4
-48,69,8
-48,72,1
-48,73,1
-47,-180,2
-47,-59,3
-47,-56,8
-47,-55,5
-47,-54,11
-47,-53,3
-47,-50,3
-47,-18,4
-47,-6,1
-47,-2,1
-47,0,2
-47,2,1
-47,6,2
-47,30,4
-47,31,3
-47,32,4
-47,34,5
-47,35,2
-47,36,22
-47,37,11
-47,38,1
-47,43,1
-47,44,4
-47,45,7
-47,46,2
-47,47,5
-47,48,2
-47,49,4
-47,50,2
-47,54,4
-47,55,1
-47,57,3
-47,58,8
-47,59,1
-47,60,4
-47,61,3
-47,62,3
-47,63,2
-47,64,3
-47,65,2
-47,69,2
-47,72,2
-47,73,2
-46,-57,37
-46,-56,15
-46,-55,27
-46,-54,36
-46,-53,13
-46,-52,13
-46,-51,5
-46,-41,3
-46,-18,10
-46,-9,1
-46,12,2
-46,30,6
-46,31,2
-46,33,2
-46,34,4
-46,35,13
-46,36,26
-46,37,6
-46,38,8
-46,39,4
-46,40,3
-46,42,2
-46,43,1
-46,45,2
-46,46,6
-46,47,7
-46,48,3
-46,49,4
-46,50,4
-46,52,3
-46,53,2
-46,54,33
-46,55,10
-46,56,13
-46,57,4
-46,58,7
-46,59,2
-46,61,2
-46,62,9
-46,63,4
-46,64,5
-46,65,1
-46,66,2
-46,68,2
-46,69,3
-46,70,2
-46,71,4
-46,72,3
-45,-177,2
-45,-175,2
-45,-171,2
-45,-168,2
-45,-164,2
-45,-162,2
-45,-56,3
-45,-55,14
-45,-54,16
-45,-53,8
-45,-52,5
-45,-51,10
-45,-45,2
-45,-44,1
-45,-42,3
-45,-18,4
-45,-17,4
-45,-12,1
-45,-11,9
-45,-5,2
-45,0,2
-45,29,4
-45,33,4
-45,34,2
-45,35,2
-45,36,12
-45,37,3
-45,40,22
-45,42,3
-45,43,10
-45,44,2
-45,46,2
-45,47,1
-45,48,47
-45,49,18
-45,50,15
-45,51,11
-45,52,15
-45,53,10
-45,54,39
-45,55,5
-45,56,2
-45,57,6
-45,58,20
-45,59,4
-45,60,1
-45,62,2
-45,63,5
-45,65,8
-45,66,4
-45,67,4
-45,68,6
-45,69,15
-45,71,1
-44,-60,5
-44,-58,9
-44,-57,3
-44,-56,6
-44,-54,1
-44,-52,6
-44,-51,11
-44,-50,2
-44,-49,12
-44,-48,17
-44,-47,6
-44,-46,2
-44,-44,5
-44,-29,1
-44,-22,1
-44,-18,4
-44,-15,2
-44,-14,4
-44,27,2
-44,28,4
-44,29,3
-44,32,2
-44,34,6
-44,35,6
-44,36,1
-44,37,1
-44,41,3
-44,42,6
-44,43,11
-44,48,2
-44,49,3
-44,50,9
-44,51,1
-44,52,2
-44,53,7
-44,54,3
-44,55,5
-44,56,7
-44,57,36
-44,58,10
-44,59,2
-44,60,4
-44,62,2
-44,63,6
-44,65,1
-44,67,2
-44,68,4
-43,-158,2
-43,-157,2
-43,-57,2
-43,-56,6
-43,-55,15
-43,-54,4
-43,-53,10
-43,-52,3
-43,-50,2
-43,-48,13
-43,-41,3
-43,-39,2
-43,-35,1
-43,-21,2
-43,-18,2
-43,-16,14
-43,-14,1
-43,-12,2
-43,-10,2
-43,28,2
-43,29,2
-43,34,4
-43,35,2
-43,42,13
-43,43,2
-43,44,1
-43,47,8
-43,48,1
-43,49,2
-43,50,3
-43,51,1
