x,y,count
-197,24,3
-196,23,3
-196,25,1
-196,26,1
-196,27,3
-196,30,1
-195,26,1
-195,27,1
-195,28,1
-194,19,3
-193,19,4
-190,27,4
-190,28,3
-190,41,1
-190,44,1
-190,59,1
-189,41,3
-189,46,5
-189,58,1
-189,63,1
-188,33,5
-188,41,51
-188,42,8
-188,43,7
-188,47,3
-188,56,1
-188,60,1
-188,64,1
-188,65,1
-188,66,1
-187,18,2
-187,19,2
-187,34,2
-187,42,10
-187,43,1
-186,19,3
-186,42,1
-186,43,3
-186,68,1
-186,70,1
-185,42,3
-185,43,3
-185,69,1
-184,35,1
-184,42,1
-184,66,1
-184,74,1
-183,42,6
-183,74,1
-182,20,1
-182,35,1
-182,44,3
-181,19,1
-181,20,2
-181,21,3
-181,35,3
-181,42,1
-181,43,3
-181,46,1
-181,47,3
-181,48,4
-181,50,1
-181,54,4
-181,67,1
-181,75,1
-181,78,1
-180,-92,3
-180,25,2
-180,35,2
-180,46,3
-180,48,3
-180,49,1
-180,50,1
-180,52,3
-180,53,5
-180,54,3
-180,56,4
-180,57,2
-180,79,1
-180,83,1
-179,25,5
-179,57,1
-178,58,7
-178,66,1
-177,35,1
-177,58,4
-177,59,4
-176,35,1
-176,66,1
-175,-93,3
-175,25,1
-174,25,5
-174,26,1
-174,34,2
-174,35,4
-174,58,1
-174,59,1
-174,68,1
-174,82,1
-173,20,1
-173,35,4
-173,37,3
-173,39,1
-173,40,1
-173,41,1
-173,58,1
-173,71,1
-173,73,1
-173,75,2
-173,77,2
-172,-93,3
-172,-92,3
-172,19,3
-172,20,2
-172,21,1
-172,36,1
-172,37,6
-172,38,2
-172,40,4
-172,41,7
-172,77,2
-172,78,1
-172,84,1
-172,87,1
-172,90,1
-172,94,1
-172,96,1
-171,35,4
-171,36,3
-171,41,3
-171,42,1
-171,58,3
-171,59,4
-170,-93,15
-170,-91,3
-170,33,1
-170,42,7
-170,51,3
-170,59,7
-169,-94,3
-169,34,4
-169,42,1
-169,43,3
-169,52,2
-169,53,2
-169,98,1
-168,34,1
-168,51,3
-168,99,1
-167,-92,3
-167,19,2
-167,34,3
-167,35,3
-167,42,1
-167,43,7
-167,44,3
-167,50,6
-167,51,1
-167,59,3
-166,-91,6
-166,18,5
-166,33,3
-166,34,1
-166,42,1
-166,43,4
-166,44,1
-166,50,1
-166,60,7
-165,-90,3
-165,-88,3
-165,-66,2
-165,-59,1
-165,-58,3
-165,12,1
-165,13,1
-165,14,1
-165,33,1
-165,34,3
-165,42,3
-165,45,4
-165,47,5
-165,48,5
-165,49,5
-165,61,4
-165,64,2
-165,66,3
-165,67,3
-165,95,1
-164,-87,3
-164,-86,3
-164,-76,1
-164,-72,1
-164,-71,6
-164,-69,1
-164,-68,3
-164,-64,3
-164,-63,3
-164,-59,4
-164,-58,3
-164,-56,3
-164,-54,3
-164,11,3
-164,12,1
