x,y,count
-197,24,1
-196,25,1
-196,30,1
-195,27,1
-195,28,1
-194,19,2
-190,27,1
-190,28,1
-190,41,1
-190,59,1
-189,58,1
-189,63,1
-188,33,2
-188,42,1
-188,56,1
-188,60,1
-188,64,1
-188,65,1
-188,66,1
-187,18,2
-187,43,1
-186,42,1
-186,68,1
-186,70,1
-185,69,1
-184,35,1
-184,42,1
-184,66,1
-184,74,1
-183,42,2
-183,74,1
-182,20,1
-182,35,1
-182,44,1
-181,20,1
-181,42,1
-181,46,1
-181,67,1
-181,75,1
-181,78,1
-180,25,2
-180,49,1
-180,53,1
-180,56,4
-180,79,1
-180,83,1
-179,57,1
-178,58,1
-178,66,1
-177,35,1
-176,35,1
-176,66,1
-174,25,1
-174,26,1
-174,58,1
-174,68,1
-174,82,1
-173,39,1
-173,71,1
-173,73,1
-173,75,2
-173,77,2
-172,20,1
-172,21,1
-172,36,1
-172,38,2
-172,77,2
-172,78,1
-172,84,1
-172,87,1
-172,90,1
-172,94,1
-172,96,1
-171,35,1
-171,42,1
-171,59,1
-170,33,1
-170,42,1
-169,42,1
-169,43,3
-169,52,2
-169,53,2
-169,98,1
-168,99,1
-167,19,1
-167,51,1
-167,59,1
-166,18,1
-166,34,1
-166,43,1
-166,50,1
-166,60,1
-165,-66,2
-165,-59,1
-165,12,1
-165,14,1
-165,33,1
-165,45,1
-165,47,1
-165,48,1
-165,49,1
-165,64,1
-165,95,1
-164,-76,1
-164,-72,1
-164,-71,6
-164,-69,1
-164,-68,3
-164,-64,3
-164,-63,3
-164,-59,1
-164,-58,3
-164,-56,3
-164,29,1
-164,41,1
-164,43,1
-164,48,1
-164,49,1
-164,50,1
-164,67,1
-164,71,1
-164,95,1
-163,-75,1
-163,-54,1
-163,-52,1
-163,27,1
-163,73,1
-162,-76,3
-162,-75,3
-162,-53,4
-162,51,2
-161,-53,3
-161,11,1
-161,91,2
-160,-52,1
-160,26,1
-160,51,1
-160,74,1
-159,-77,1
-159,10,1
-159,83,1
-158,-124,1
-158,-123,1
-158,-121,1
-158,-77,3
-158,51,1
-158,73,1
-157,-60,3
-157,-53,3
-157,-51,1
-157,-46,3
-157,-39,3
-157,28,1
-157,51,1
-157,70,1
-157,87,1
-157,88,1
-156,-123,1
-156,-117,1
-156,-116,1
-156,-61,3
-156,-59,1
-156,-55,3
-156,-53,2
-156,-49,3
-156,-46,1
-156,-44,1
-156,-42,3
-156,-40,1
-156,30,1
-156,34,1
-156,37,1
-156,63,1
-156,67,1
-156,100,1
-156,103,1
-156,106,1
-156,107,7
-156,109,1
-156,111,1
-156,112,1
-155,-123,1
-155,-118,1
-155,-60,1
-155,-59,3
-155,-38,1
-155,41,1
-155,43,1
-155,51,1
-155,60,1
-155,99,4
-155,106,1
-154,-36,3
-154,11,1
-154,52,1
-154,82,1
-154,83,1
-154,115,1
-153,-38,1
-153,11,1
-153,100,1
-153,115,1
-153,120,1
-152,-116,1
-152,51,1
-152,59,1
-152,99,1
-151,-116,1
-151,-115,1
-151,43,1
-151,51,1
-151,114,1
-150,-116,1
-150,-115,1
-150,-104,1
-150,-60,7
-150,10,2
-150,51,5
-150,60,1
-150,114,1
-150,119,1
-150,123,1
-149,-127,1
-149,-126,1
-149,-114,1
-149,-113,1
-149,-112,2
-149,-110,1
-149,-108,1
-149,-107,2
-149,-106,1
-149,-100,1
-149,-99,1
-149,-62,1
-149,-8,1
-149,-6,1
-149,-2,1
-149,0,1
-149,7,1
-149,9,1
-149,43,1
-149,50,2
-149,63,1
-149,66,1
-149,85,1
-149,86,1
-149,112,1
-148,-129,1
-148,-110,1
-148,-101,1
-148,-98,1
-148,3,1
-148,50,1
-148,70,1
-148,73,1
-148,112,1
-148,124,1
-148,129,1
-147,-131,2
-147,-125,1
-147,-109,2
-147,-94,2
-147,-93,1
-147,-11,1
-147,90,1
-147,106,1
-147,113,1
-147,130,1
-146,-132,1
-146,-93,1
-146,43,1
-146,107,1
-145,-109,1
-145,-108,1
-145,74,1
-145,91,1
-145,115,1
-144,-132,1
-144,-124,3
-144,-109,2
-144,-60,3
-144,-12,1
-144,115,1
-143,-109,3
-143,-61,1
-143,-60,3
-143,43,1
-143,131,1
-142,-110,1
-142,-92,1
-142,-61,1
-142,49,1
-142,55,1
-142,71,1
-142,74,1
-142,99,1
-142,104,1
-142,116,1
-142,117,2
-142,121,1
-142,123,1
-141,-133,1
-141,-132,1
-141,-123,1
-141,-120,3
-141,-110,1
-141,-107,1
-141,-93,2
-141,-73,1
-141,-71,4
-141,-66,3
-141,-65,3
-141,31,3
-141,46,1
-141,92,1
-141,94,1
-141,105,1
-141,121,1
-141,132,1
-141,135,1
-141,138,1
-141,139,1
-140,-113,1
-140,-110,1
-140,-109,1
-140,-76,3
-140,-75,3
-140,-72,3
-140,-71,3
-140,-69,3
-140,-66,1
-140,-65,4
-140,-63,3
-140,-61,3
-140,-60,3
-140,-13,1
-140,32,3
-140,52,1
-140,69,1
-140,95,3
-140,99,1
-139,-132,1
-139,-117,1
-139,-114,1
-139,-112,1
-139,-111,1
-139,-110,1
-139,-93,1
-139,-76,1
-139,-61,3
-139,28,3
-139,30,1
-139,121,1
-139,122,1
-138,-134,1
-138,-116,1
-138,-113,1
-138,-77,6
-138,-61,6
-138,26,3
-138,58,1
-138,59,1
-138,67,1
-138,122,1
-138,138,1
-137,-116,2
-137,-77,1
-137,-61,1
-137,-60,3
-137,-13,1
-137,26,1
-137,34,4
-136,-114,1
-136,-112,1
-136,-61,1
-136,-60,7
-136,34,3
-136,137,1
-135,-132,1
-135,-113,1
-135,-112,2
-135,-93,1
-135,-61,3
-135,26,5
-134,-133,1
-134,-115,1
-134,-111,1
-134,-94,1
-134,-77,6
-134,-60,3
-134,-14,1
-134,27,3
-134,66,1
-134,81,1
-134,86,1
-134,104,1
-134,124,1
-133,-118,1
-133,-112,1
-133,-107,1
-133,-101,1
-133,-98,1
-133,-82,3
-133,-78,7
-133,-60,1
-133,6,1
-133,8,3
-133,37,3
-133,39,4
-133,52,1
-133,80,1
-133,82,1
-133,123,1
-133,126,1
-133,129,1
-133,141,1
-133,142,1
-132,-132,1
-132,-115,1
-132,-114,1
-132,-113,1
-132,-111,1
-132,-104,1
-132,-83,6
-132,-79,1
-132,3,3
-132,7,4
-132,9,3
-132,25,1
-132,44,3
-132,45,4
-132,58,1
-132,59,1
-132,76,1
-132,87,1
-132,91,1
-132,93,1
-132,98,1
-132,99,1
-132,103,1
-132,104,1
-132,105,1
-132,129,1
-131,-132,1
-131,-83,4
-131,-60,3
-131,-59,3
-131,-12,1
-131,3,3
-131,4,3
-131,5,1
-131,9,3
-131,26,3
-131,59,2
-131,66,1
-131,75,1
-131,130,1
-131,131,1
-130,-84,1
-130,-61,1
-130,-60,2
-130,10,1
-130,11,1
-130,35,3
-130,106,1
-129,-85,3
-129,-60,3
-129,2,1
-129,11,3
-128,-133,2
-128,-68,38
-128,-61,3
-128,26,4
-128,66,1
-128,107,1
-127,-85,6
-127,-69,3
-127,-68,4
-127,-67,3
-127,-61,4
-127,-13,1
-127,1,6
-127,2,1
-127,59,1
-127,66,2
-127,74,1
-127,131,1
-126,-132,1
-126,-126,1
-126,-85,3
-126,-68,3
-126,-67,1
-126,-64,3
-126,-63,1
-126,-61,3
-126,2,3
-126,10,3
-126,11,3
-126,59,1
-126,60,1
-126,74,1
-126,131,1
-125,-132,1
-125,-131,1
-125,-126,1
-125,-102,3
-125,-91,3
-125,-86,6
-125,-83,1
-125,-82,1
-125,-71,3
-125,-70,3
-125,-69,3
-125,-67,1
-125,-66,9
-125,-63,1
-125,-62,3
-125,-61,3
-125,-20,2
-125,-12,1
-125,-2,25
-125,-1,3
-125,10,1
-125,27,1
-125,63,1
-125,65,1
-125,119,3
-125,131,1
-125,137,1
-125,141,1
-125,147,1
-124,-128,2
-124,-127,1
-124,-122,1
-124,-121,1
-124,-119,2
-124,-107,3
-124,-106,3
-124,-103,2
-124,-102,3
-124,-89,3
-124,-88,3
-124,-85,1
-124,-81,3
-124,-66,1
-124,-65,3
-124,-63,3
-124,-61,1
-124,-22,1
-124,-17,1
-124,-4,6
-124,0,2
-124,10,4
-124,26,3
-124,51,1
-124,73,1
-124,89,2
-124,96,2
-124,106,1
-124,116,1
-124,117,1
-124,121,1
-124,135,1
-124,138,1
-124,144,2
-124,149,1
-124,150,1
-123,-133,1
-123,-132,1
-123,-116,1
-123,-107,2
-123,-101,3
-123,-93,3
-123,-92,1
-123,-91,6
-123,-79,1
-123,-77,1
-123,-73,3
-123,-28,1
-123,-17,1
-123,-4,1
-123,-3,3
-123,0,6
-123,26,3
-123,57,1
-123,60,1
-123,83,1
-123,84,1
-123,119,2
-123,153,1
-122,-130,1
-122,-116,1
-122,-99,3
-122,-77,1
-122,-76,3
-122,-71,6
-122,-4,1
-122,49,1
-122,154,1
-121,-132,3
-121,-100,3
-121,-92,6
-121,11,3
-121,107,1
-121,115,3
-121,122,3
-121,154,1
-120,-132,1
-120,-116,2
-120,-109,3
-120,-93,6
-120,-5,3
-120,10,3
-120,27,3
-120,98,1
-120,99,1
-119,-134,8
-119,-102,1
-119,-101,1
-119,-76,1
-119,10,3
-119,27,1
-119,49,1
-119,122,1
-118,-162,1
-118,-131,1
-118,-94,3
-118,-93,6
-118,-5,6
-118,10,1
-118,11,1
-118,26,3
-118,84,3
-118,106,1
-118,114,1
-118,140,7
-118,154,1
-117,-161,1
-117,-159,4
-117,-158,4
-117,-156,4
-117,-130,1
-117,-129,3
-117,-127,1
-117,-116,1
-117,-109,3
-117,-108,1
-117,-101,1
-117,-93,4
-117,-76,3
-117,-27,1
-117,-9,3
-117,-7,1
-117,-5,1
-117,15,3
-117,17,1
-117,23,1
-117,27,3
-117,30,3
-117,32,3
-117,34,3
-117,35,3
-117,38,3
-117,49,1
-117,51,1
-117,52,3
-117,61,6
-117,67,6
-117,68,1
-117,69,32
-117,71,4
-117,75,1
-117,82,1
-117,84,3
-117,87,3
-117,89,3
-117,128,1
-117,139,1
-117,140,2
-117,144,1
-117,150,1
-116,-159,1
-116,-158,1
-116,-117,1
-116,-108,1
-116,-101,1
-116,-100,1
-116,-92,3
-116,-77,2
-116,-22,1
-116,-10,1
-116,-9,6
-116,11,2
-116,20,3
-116,29,3
-116,39,3
-116,42,6
-116,49,1
-116,52,3
-116,53,1
-116,56,6
-116,59,1
-116,66,1
-116,72,3
-116,73,1
-116,82,1
-116,84,1
-116,85,2
-116,88,1
-116,89,1
-116,102,1
-116,103,1
-116,126,3
-116,135,1
-116,141,2
-116,142,1
-116,143,2
-116,148,1
-116,149,1
-116,153,1
-116,155,1
-116,157,1
-116,159,1
-115,-160,5
-115,-94,3
-115,-93,3
-115,-13,3
-115,-12,3
-115,10,3
-115,49,2
-115,51,3
-115,56,1
-115,62,1
-115,69,1
-115,75,3
-115,83,4
-115,90,1
-115,123,1
-115,126,3
-115,131,3
-115,132,3
-115,133,1
-115,134,4
-115,135,4
-115,136,1
-115,137,1
-115,138,1
-115,140,1
-115,154,1
-114,-161,1
-114,-160,1
-114,-116,1
-114,-93,19
-114,-12,1
-114,10,3
-114,49,4
-114,76,1
-114,78,1
-114,80,1
-114,82,1
-114,91,1
-114,114,3
-114,122,3
-114,139,1
-113,-160,5
-113,-117,1
-113,-109,3
-113,-92,3
-113,-13,3
-113,43,3
-113,74,3
-113,75,4
-113,76,3
-113,78,3
-113,79,3
-113,82,6
-113,132,1
-113,139,1
-112,-93,3
-112,-78,3
-112,-13,1
-112,9,1
-112,43,3
-112,49,1
-112,50,3
-112,82,3
-112,122,1
-112,140,1
-111,-160,2
-111,-118,1
-111,-108,4
-111,-12,3
-111,51,1
-111,73,1
-111,82,3
-111,83,1
-111,91,2
-111,114,1
-111,131,1
-111,137,1
-110,-168,1
-110,-162,3
-110,-161,5
-110,-160,1
-110,-159,1
-110,-116,1
-110,-107,1
-110,-93,1
-110,-86,3
-110,-21,1
-110,3,3
-110,10,3
-110,44,3
-110,50,3
-110,51,3
-110,82,1
-110,124,1
-109,-170,32
-109,-168,1
-109,-167,2
-109,-166,4
-109,-165,4
-109,-163,1
-109,-162,2
-109,-161,5
-109,-160,4
-109,-158,4
-109,-157,2
-109,-155,4
-109,-118,3
-109,-103,3
-109,-102,2
-109,-97,3
-109,-96,1
-109,-95,1
-109,-93,3
-109,-91,3
-109,-90,3
-109,-85,3
-109,-76,1
-109,-12,3
-109,-11,1
-109,5,1
-109,6,3
